,Indicator,PUBLISH STATES,Year,WHO region,World Bank income group,Country,Sex,Display Value,Numeric,Low,High,Comments
4249,Healthy life expectancy (HALE) at birth (years),Published,2012,Western Pacific,Upper-middle-income,Tuvalu,Both sexes,58,58.0,,,
4250,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,United Republic of Tanzania,Female,53,53.0,,,
4251,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Uganda,Male,38,38.0,,,
4252,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,Lower-middle-income,Ukraine,Male,59,59.0,,,
4253,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,Low-income,Uzbekistan,Both sexes,58,58.0,,,
4254,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Upper-middle-income,Saint Vincent and the Grenadines,Female,63,63.0,,,
4255,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Upper-middle-income,Venezuela (Bolivarian Republic of),Female,69,69.0,,,
4256,Healthy life expectancy (HALE) at birth (years),Published,2000,Western Pacific,Low-income,Viet Nam,Male,60,60.0,,,
4257,Healthy life expectancy (HALE) at birth (years),Published,2000,Western Pacific,Lower-middle-income,Vanuatu,Both sexes,59,59.0,,,
4258,Healthy life expectancy (HALE) at birth (years),Published,2000,Western Pacific,Lower-middle-income,Samoa,Both sexes,61,61.0,,,
4259,Healthy life expectancy (HALE) at birth (years),Published,2012,Western Pacific,Lower-middle-income,Samoa,Both sexes,64,64.0,,,
4260,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Zambia,Male,48,48.0,,,
4261,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Zimbabwe,Male,48,48.0,,,
4262,Life expectancy at age 60 (years),Published,1990,Western Pacific,Lower-middle-income,Mongolia,Male,14,14.0,,,
4263,Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,Nigeria,Both sexes,46,46.0,,,
4264,Life expectancy at age 60 (years),Published,1990,Africa,Lower-middle-income,Nigeria,Male,14,14.0,,,
4265,Life expectancy at age 60 (years),Published,2000,Africa,Lower-middle-income,Nigeria,Both sexes,15,15.0,,,
4266,Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,Nicaragua,Female,76,76.0,,,
4267,Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,Nicaragua,Both sexes,71,71.0,,,
4268,Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,Nicaragua,Both sexes,73,73.0,,,
4269,Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Pakistan,Male,64,64.0,,,
4270,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Pakistan,Male,17,17.0,,,
4271,Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Philippines,Male,66,66.0,,,
4272,Life expectancy at age 60 (years),Published,1990,Western Pacific,Lower-middle-income,Philippines,Male,17,17.0,,,
4273,Life expectancy at age 60 (years),Published,2000,Western Pacific,Lower-middle-income,Philippines,Male,17,17.0,,,
4274,Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Papua New Guinea,Male,56,56.0,,,
4275,Life expectancy at age 60 (years),Published,1990,Western Pacific,Lower-middle-income,Papua New Guinea,Male,12,12.0,,,
4276,Life expectancy at age 60 (years),Published,2012,Western Pacific,Lower-middle-income,Papua New Guinea,Both sexes,15,15.0,,,
4277,Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,Paraguay,Female,78,78.0,,,
4278,Life expectancy at age 60 (years),Published,2012,Americas,Lower-middle-income,Paraguay,Female,23,23.0,,,
4279,Life expectancy at age 60 (years),Published,2000,Americas,Lower-middle-income,Paraguay,Both sexes,21,21.0,,,
4280,Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Solomon Islands,Male,64,64.0,,,
4281,Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Solomon Islands,Male,67,67.0,,,
4282,Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,Solomon Islands,Female,63,63.0,,,
4283,Life expectancy at age 60 (years),Published,1990,Western Pacific,Lower-middle-income,Solomon Islands,Female,16,16.0,,,
4284,Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,El Salvador,Male,68,68.0,,,
4285,Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,El Salvador,Both sexes,70,70.0,,,
4286,Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,Sao Tome and Principe,Male,59,59.0,,,
4287,Life expectancy at age 60 (years),Published,1990,Africa,Lower-middle-income,Sao Tome and Principe,Male,17,17.0,,,
4288,Life expectancy at age 60 (years),Published,1990,Africa,Lower-middle-income,Sao Tome and Principe,Both sexes,17,17.0,,,
4289,Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Swaziland,Female,55,55.0,,,
4290,Life expectancy at age 60 (years),Published,1990,Africa,Lower-middle-income,Swaziland,Female,15,15.0,,,
4291,Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Syrian Arab Republic,Male,72,72.0,,,
4292,Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Syrian Arab Republic,Female,75,75.0,,,
4293,Life expectancy at age 60 (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Syrian Arab Republic,Female,18,18.0,,,
4294,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Syrian Arab Republic,Female,20,20.0,,,
4295,Life expectancy at birth (years),Published,1990,South-East Asia,Lower-middle-income,Thailand,Male,66,66.0,,,
4296,Life expectancy at birth (years),Published,2012,South-East Asia,Lower-middle-income,Thailand,Male,71,71.0,,,
4297,Life expectancy at birth (years),Published,1990,South-East Asia,Lower-middle-income,Thailand,Female,72,72.0,,,
4298,Life expectancy at birth (years),Published,1990,Europe,Lower-middle-income,Turkmenistan,Both sexes,62,62.0,,,
4299,Life expectancy at age 60 (years),Published,1990,Europe,Lower-middle-income,Turkmenistan,Male,14,14.0,,,
4300,Life expectancy at age 60 (years),Published,2000,Europe,Lower-middle-income,Turkmenistan,Both sexes,15,15.0,,,
4301,Life expectancy at birth (years),Published,2012,South-East Asia,Lower-middle-income,Timor-Leste,Female,68,68.0,,,
4302,Life expectancy at birth (years),Published,1990,South-East Asia,Lower-middle-income,Timor-Leste,Both sexes,50,50.0,,,
4303,Life expectancy at birth (years),Published,2000,South-East Asia,Lower-middle-income,Timor-Leste,Both sexes,59,59.0,,,
4304,Life expectancy at age 60 (years),Published,1990,South-East Asia,Lower-middle-income,Timor-Leste,Female,15,15.0,,,
4305,Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Tonga,Male,74,74.0,,,
4306,Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Tonga,Female,71,71.0,,,
4307,Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Tonga,Female,69,69.0,,,
4308,Life expectancy at age 60 (years),Published,2000,Western Pacific,Lower-middle-income,Tonga,Male,16,16.0,,,
4309,Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Tunisia,Male,74,74.0,,,
4310,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Tunisia,Male,19,19.0,,,
4311,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Tunisia,Both sexes,21,21.0,,,
4312,Life expectancy at birth (years),Published,1990,Europe,Lower-middle-income,Ukraine,Male,65,65.0,,,
4313,Life expectancy at age 60 (years),Published,2000,Europe,Lower-middle-income,Ukraine,Male,14,14.0,,,
4314,Life expectancy at age 60 (years),Published,1990,Europe,Lower-middle-income,Ukraine,Both sexes,18,18.0,,,
4315,Life expectancy at age 60 (years),Published,2000,Europe,Lower-middle-income,Ukraine,Both sexes,17,17.0,,,
4316,Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,Vanuatu,Male,64,64.0,,,
4317,Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Vanuatu,Female,74,74.0,,,
4318,Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Vanuatu,Both sexes,72,72.0,,,
4319,Life expectancy at age 60 (years),Published,2000,Western Pacific,Lower-middle-income,Vanuatu,Female,18,18.0,,,
4320,Life expectancy at age 60 (years),Published,2012,Western Pacific,Lower-middle-income,Vanuatu,Female,19,19.0,,,
4321,Life expectancy at age 60 (years),Published,2000,Western Pacific,Lower-middle-income,Vanuatu,Both sexes,17,17.0,,,
4322,Life expectancy at age 60 (years),Published,2012,Western Pacific,Lower-middle-income,Samoa,Male,16,16.0,,,
4323,Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Argentina,Male,69,69.0,,,
4324,Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Argentina,Male,73,73.0,,,
4325,Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Argentina,Both sexes,75,75.0,,,
4326,Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Argentina,Both sexes,76,76.0,,,
4327,Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Bulgaria,Male,68,68.0,,,
4328,Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Bulgaria,Both sexes,74,74.0,,,
4329,Life expectancy at age 60 (years),Published,1990,Europe,Upper-middle-income,Bulgaria,Both sexes,18,18.0,,,
4330,Life expectancy at age 60 (years),Published,2000,Europe,Upper-middle-income,Bulgaria,Both sexes,18,18.0,,,
4331,Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Bosnia and Herzegovina,Female,78,78.0,,,
4332,Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Bosnia and Herzegovina,Female,80,80.0,,,
4333,Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Bosnia and Herzegovina,Both sexes,73,73.0,,,
4334,Life expectancy at age 60 (years),Published,1990,Europe,Upper-middle-income,Bosnia and Herzegovina,Female,19,19.0,,,
4335,Life expectancy at age 60 (years),Published,1990,Europe,Upper-middle-income,Bosnia and Herzegovina,Both sexes,18,18.0,,,
4336,Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Brazil,Male,67,67.0,,,
4337,Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Brazil,Both sexes,74,74.0,,,
4338,Life expectancy at age 60 (years),Published,1990,Americas,Upper-middle-income,Brazil,Male,16,16.0,,,
4339,Life expectancy at age 60 (years),Published,2000,Americas,Upper-middle-income,Brazil,Both sexes,19,19.0,,,
4340,Life expectancy at birth (years),Published,2000,Africa,Upper-middle-income,Botswana,Both sexes,47,47.0,,,
4341,Life expectancy at age 60 (years),Published,1990,Africa,Upper-middle-income,Botswana,Male,18,18.0,,,
4342,Life expectancy at age 60 (years),Published,2012,Africa,Upper-middle-income,Botswana,Female,18,18.0,,,
4343,Life expectancy at age 60 (years),Published,1990,Africa,Upper-middle-income,Botswana,Both sexes,17,17.0,,,
4344,Life expectancy at age 60 (years),Published,1990,Americas,Upper-middle-income,Chile,Both sexes,19,19.0,,,
4345,Life expectancy at age 60 (years),Published,2012,Americas,Upper-middle-income,Colombia,Male,23,23.0,,,
4346,Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Costa Rica,Male,75,75.0,,,
4347,Life expectancy at age 60 (years),Published,1990,Americas,Upper-middle-income,Cuba,Both sexes,20,20.0,,,
4348,Life expectancy at age 60 (years),Published,2012,Americas,Upper-middle-income,Cuba,Both sexes,22,22.0,,,
4349,Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Dominica,Both sexes,74,74.0,,,
4350,Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Dominica,Both sexes,75,75.0,,,
4351,Life expectancy at age 60 (years),Published,2012,Americas,Upper-middle-income,Dominica,Female,22,22.0,,,
4352,Life expectancy at age 60 (years),Published,1990,Americas,Upper-middle-income,Dominica,Both sexes,20,20.0,,,
4353,Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Dominican Republic,Female,70,70.0,,,
4354,Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Dominican Republic,Female,78,78.0,,,
4355,Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Dominican Republic,Both sexes,69,69.0,,,
4356,Life expectancy at age 60 (years),Published,2012,Americas,Upper-middle-income,Dominican Republic,Female,23,23.0,,,
4357,Life expectancy at birth (years),Published,2012,Africa,Upper-middle-income,Algeria,Male,70,70.0,,,
4358,Life expectancy at birth (years),Published,1990,Africa,Upper-middle-income,Algeria,Female,69,69.0,,,
4359,Life expectancy at age 60 (years),Published,2012,Africa,Upper-middle-income,Algeria,Both sexes,18,18.0,,,
4360,Life expectancy at birth (years),Published,2000,Western Pacific,Upper-middle-income,Fiji,Male,65,65.0,,,
4361,Life expectancy at birth (years),Published,2012,Western Pacific,Upper-middle-income,Fiji,Both sexes,69,69.0,,,
4362,Life expectancy at age 60 (years),Published,2000,Western Pacific,Upper-middle-income,Fiji,Male,15,15.0,,,
4363,Life expectancy at age 60 (years),Published,2000,Western Pacific,Upper-middle-income,Fiji,Both sexes,16,16.0,,,
4364,Life expectancy at birth (years),Published,1990,Africa,Upper-middle-income,Gabon,Male,60,60.0,,,
4365,Life expectancy at birth (years),Published,2012,Africa,Upper-middle-income,Gabon,Female,64,64.0,,,
4366,Life expectancy at birth (years),Published,1990,Africa,Upper-middle-income,Gabon,Both sexes,61,61.0,,,
4367,Life expectancy at birth (years),Published,2000,Africa,Upper-middle-income,Gabon,Both sexes,59,59.0,,,
4368,Life expectancy at age 60 (years),Published,2012,Africa,Upper-middle-income,Gabon,Female,19,19.0,,,
4369,Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Grenada,Female,74,74.0,,,
4370,Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Grenada,Female,76,76.0,,,
4371,Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Grenada,Female,77,77.0,,,
4372,Life expectancy at age 60 (years),Published,1990,Americas,Upper-middle-income,Grenada,Both sexes,18,18.0,,,
4373,Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Jamaica,Female,75,75.0,,,
4374,Life expectancy at age 60 (years),Published,2012,Americas,Upper-middle-income,Jamaica,Male,20,20.0,,,
4375,Life expectancy at age 60 (years),Published,1990,Americas,Upper-middle-income,Jamaica,Female,21,21.0,,,
4376,Life expectancy at age 60 (years),Published,2000,Americas,Upper-middle-income,Jamaica,Female,22,22.0,,,
4377,Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Kazakhstan,Both sexes,68,68.0,,,
4378,Life expectancy at age 60 (years),Published,1990,Europe,Upper-middle-income,Kazakhstan,Male,15,15.0,,,
4379,Life expectancy at age 60 (years),Published,2012,Europe,Upper-middle-income,Kazakhstan,Both sexes,16,16.0,,,
4380,Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Saint Kitts and Nevis,Both sexes,68,68.0,,,
4381,Life expectancy at age 60 (years),Published,1990,Americas,Upper-middle-income,Saint Kitts and Nevis,Both sexes,17,17.0,,,
4382,Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Upper-middle-income,Lebanon,Female,82,82.0,,,
4383,Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Upper-middle-income,Libya,Female,77,77.0,,,
4384,Life expectancy at age 60 (years),Published,1990,Eastern Mediterranean,Upper-middle-income,Libya,Female,18,18.0,,,
4385,Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Saint Lucia,Male,70,70.0,,,
4386,Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Saint Lucia,Both sexes,75,75.0,,,
4387,Life expectancy at age 60 (years),Published,1990,Americas,Upper-middle-income,Saint Lucia,Male,19,19.0,,,
4388,Life expectancy at age 60 (years),Published,2012,Americas,Upper-middle-income,Saint Lucia,Male,19,19.0,,,
4389,Life expectancy at age 60 (years),Published,1990,Americas,Upper-middle-income,Saint Lucia,Female,21,21.0,,,
4390,Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Lithuania,Male,66,66.0,,,
4391,Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Lithuania,Both sexes,74,74.0,,,
4392,Life expectancy at age 60 (years),Published,2000,Europe,Upper-middle-income,Lithuania,Both sexes,20,20.0,,,
4393,Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Latvia,Both sexes,70,70.0,,,
4394,Life expectancy at age 60 (years),Published,1990,Americas,Upper-middle-income,Mexico,Female,22,22.0,,,
4395,Life expectancy at age 60 (years),Published,2000,Americas,Upper-middle-income,Mexico,Female,23,23.0,,,
4396,Life expectancy at age 60 (years),Published,2012,Americas,Upper-middle-income,Mexico,Female,23,23.0,,,
4397,Life expectancy at age 60 (years),Published,2000,Europe,Upper-middle-income,The former Yugoslav republic of Macedonia,Male,17,17.0,,,
4398,Life expectancy at age 60 (years),Published,2012,Europe,Upper-middle-income,The former Yugoslav republic of Macedonia,Male,18,18.0,,,
4399,Life expectancy at age 60 (years),Published,2012,Europe,Upper-middle-income,The former Yugoslav republic of Macedonia,Both sexes,19,19.0,,,
4400,Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Montenegro,Male,73,73.0,,,
4401,Life expectancy at age 60 (years),Published,2000,Europe,Upper-middle-income,Montenegro,Both sexes,20,20.0,,,
4402,Life expectancy at age 60 (years),Published,2012,Africa,Upper-middle-income,Mauritius,Both sexes,20,20.0,,,
4403,Life expectancy at birth (years),Published,1990,Western Pacific,Upper-middle-income,Malaysia,Female,73,73.0,,,
4404,Life expectancy at birth (years),Published,2000,Western Pacific,Upper-middle-income,Malaysia,Female,74,74.0,,,
4405,Life expectancy at age 60 (years),Published,2000,Western Pacific,Upper-middle-income,Malaysia,Female,18,18.0,,,
4406,Life expectancy at birth (years),Published,2012,Africa,Upper-middle-income,Namibia,Male,64,64.0,,,
4407,Life expectancy at birth (years),Published,1990,Africa,Upper-middle-income,Namibia,Female,64,64.0,,,
4408,Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Panama,Male,72,72.0,,,
4409,Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Panama,Male,74,74.0,,,
4410,Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Panama,Female,76,76.0,,,
4411,Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Panama,Both sexes,77,77.0,,,
4412,Life expectancy at age 60 (years),Published,2000,Americas,Upper-middle-income,Panama,Male,21,21.0,,,
4413,Life expectancy at age 60 (years),Published,2012,Americas,Upper-middle-income,Panama,Both sexes,23,23.0,,,
4414,Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Peru,Both sexes,72,72.0,,,
4415,Life expectancy at age 60 (years),Published,1990,Americas,Upper-middle-income,Peru,Male,20,20.0,,,
4416,Life expectancy at age 60 (years),Published,2012,Americas,Upper-middle-income,Peru,Female,24,24.0,,,
4417,Life expectancy at age 60 (years),Published,1990,Americas,Upper-middle-income,Peru,Both sexes,21,21.0,,,
4418,Life expectancy at age 60 (years),Published,2012,Americas,Upper-middle-income,Peru,Both sexes,23,23.0,,,
4419,Life expectancy at birth (years),Published,2000,Western Pacific,Upper-middle-income,Palau,Female,71,71.0,,,
4420,Life expectancy at birth (years),Published,2012,Western Pacific,Upper-middle-income,Palau,Female,75,75.0,,,
4421,Life expectancy at age 60 (years),Published,1990,Western Pacific,Upper-middle-income,Palau,Both sexes,16,16.0,,,
4422,Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Poland,Female,78,78.0,,,
4423,Life expectancy at age 60 (years),Published,2012,Europe,Upper-middle-income,Poland,Male,19,19.0,,,
4424,Life expectancy at age 60 (years),Published,2012,Europe,Upper-middle-income,Poland,Female,24,24.0,,,
4425,Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Romania,Male,71,71.0,,,
4426,Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Romania,Both sexes,74,74.0,,,
4427,Life expectancy at age 60 (years),Published,2012,Europe,Upper-middle-income,Romania,Male,17,17.0,,,
4428,Life expectancy at age 60 (years),Published,1990,Europe,Upper-middle-income,Romania,Female,19,19.0,,,
4429,Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Russian Federation,Both sexes,65,65.0,,,
4430,Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Russian Federation,Both sexes,69,69.0,,,
4431,Life expectancy at age 60 (years),Published,2000,Europe,Upper-middle-income,Russian Federation,Male,13,13.0,,,
4432,Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Serbia,Both sexes,72,72.0,,,
4433,Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Serbia,Both sexes,72,72.0,,,
4434,Life expectancy at age 60 (years),Published,2000,Europe,Upper-middle-income,Serbia,Both sexes,18,18.0,,,
4435,Life expectancy at birth (years),Published,2000,Africa,Upper-middle-income,Seychelles,Male,67,67.0,,,
4436,Life expectancy at age 60 (years),Published,1990,Africa,Upper-middle-income,Seychelles,Male,14,14.0,,,
4437,Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Turkey,Male,67,67.0,,,
4438,Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Turkey,Both sexes,70,70.0,,,
4439,Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Turkey,Both sexes,75,75.0,,,
4440,Life expectancy at age 60 (years),Published,1990,Europe,Upper-middle-income,Turkey,Both sexes,18,18.0,,,
4441,Life expectancy at age 60 (years),Published,2000,Europe,Upper-middle-income,Turkey,Both sexes,19,19.0,,,
4442,Life expectancy at age 60 (years),Published,2012,Europe,Upper-middle-income,Turkey,Both sexes,21,21.0,,,
4443,Life expectancy at birth (years),Published,2012,Western Pacific,Upper-middle-income,Tuvalu,Female,70,70.0,,,
4444,Life expectancy at birth (years),Published,2012,Western Pacific,Upper-middle-income,Tuvalu,Both sexes,68,68.0,,,
4445,Life expectancy at age 60 (years),Published,1990,Western Pacific,Upper-middle-income,Tuvalu,Both sexes,14,14.0,,,
4446,Life expectancy at age 60 (years),Published,2012,Western Pacific,Upper-middle-income,Tuvalu,Both sexes,16,16.0,,,
4447,Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Uruguay,Female,76,76.0,,,
4448,Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Uruguay,Female,79,79.0,,,
4449,Life expectancy at age 60 (years),Published,1990,Americas,Upper-middle-income,Uruguay,Both sexes,19,19.0,,,
4450,Life expectancy at age 60 (years),Published,1990,Americas,Upper-middle-income,Saint Vincent and the Grenadines,Female,21,21.0,,,
4451,Life expectancy at age 60 (years),Published,1990,Americas,Upper-middle-income,Venezuela (Bolivarian Republic of),Male,18,18.0,,,
4452,Life expectancy at age 60 (years),Published,2012,Americas,Upper-middle-income,Venezuela (Bolivarian Republic of),Male,21,21.0,,,
4453,Life expectancy at birth (years),Published,2000,Africa,Upper-middle-income,South Africa,Both sexes,59,59.0,,,
4454,Life expectancy at age 60 (years),Published,1990,Africa,Upper-middle-income,South Africa,Male,13,13.0,,,
4455,Life expectancy at age 60 (years),Published,1990,Africa,Upper-middle-income,South Africa,Both sexes,15,15.0,,,
4456,Healthy life expectancy (HALE) at birth (years),Published,2000,Eastern Mediterranean,Low-income,Afghanistan,Female,45,45.0,,,
4457,Healthy life expectancy (HALE) at birth (years),Published,2012,Eastern Mediterranean,Low-income,Afghanistan,Male,49,49.0,,,
4458,Healthy life expectancy (HALE) at birth (years),Published,2012,Eastern Mediterranean,High-income,United Arab Emirates,Female,66,66.0,,,
4459,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Upper-middle-income,Argentina,Male,64,64.0,,,
4460,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Upper-middle-income,Argentina,Both sexes,67,67.0,,,
4461,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,High-income,Antigua and Barbuda,Male,63,63.0,,,
4462,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,High-income,Antigua and Barbuda,Female,65,65.0,,,
4463,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,High-income,Antigua and Barbuda,Male,63,63.0,,,
4464,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,High-income,Austria,Both sexes,71,71.0,,,
4465,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,Lower-middle-income,Azerbaijan,Male,56,56.0,,,
4466,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,Lower-middle-income,Azerbaijan,Both sexes,58,58.0,,,
4467,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Burundi,Both sexes,41,41.0,,,
4468,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Burundi,Male,46,46.0,,,
4469,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,High-income,Belgium,Male,69,69.0,,,
4470,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Burkina Faso,Male,42,42.0,,,
4471,Healthy life expectancy (HALE) at birth (years),Published,2000,South-East Asia,Low-income,Bangladesh,Both sexes,55,55.0,,,
4472,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,Upper-middle-income,Bulgaria,Both sexes,66,66.0,,,
4473,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,High-income,Bahamas,Female,65,65.0,,,
4474,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,Upper-middle-income,Bosnia and Herzegovina,Female,70,70.0,,,
4475,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,Upper-middle-income,Belarus,Male,57,57.0,,,
4476,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Upper-middle-income,Brazil,Female,67,67.0,,,
4477,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Upper-middle-income,Brazil,Both sexes,64,64.0,,,
4478,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,High-income,Barbados,Male,63,63.0,,,
4479,Healthy life expectancy (HALE) at birth (years),Published,2000,Western Pacific,High-income,Brunei Darussalam,Both sexes,68,68.0,,,
4480,Healthy life expectancy (HALE) at birth (years),Published,2012,South-East Asia,Lower-middle-income,Bhutan,Male,58,58.0,,,
4481,Healthy life expectancy (HALE) at birth (years),Published,2012,South-East Asia,Lower-middle-income,Bhutan,Female,59,59.0,,,
4482,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Central African Republic,Female,39,39.0,,,
4483,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,High-income,Canada,Female,72,72.0,,,
4484,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,High-income,Switzerland,Both sexes,73,73.0,,,
4485,Healthy life expectancy (HALE) at birth (years),Published,2000,Western Pacific,Lower-middle-income,China,Male,63,63.0,,,
4486,Healthy life expectancy (HALE) at birth (years),Published,2000,Western Pacific,Lower-middle-income,China,Both sexes,64,64.0,,,
4487,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Lower-middle-income,Côte d'Ivoire,Both sexes,41,41.0,,,
4488,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Lower-middle-income,Côte d'Ivoire,Male,45,45.0,,,
4489,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Lower-middle-income,Côte d'Ivoire,Both sexes,46,46.0,,,
4490,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Lower-middle-income,Cameroon,Both sexes,48,48.0,,,
4491,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Democratic Republic of the Congo,Both sexes,41,41.0,,,
4492,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Lower-middle-income,Congo,Female,45,45.0,,,
